Name;Address;Phone Number;Email / Login;Password;Status;Branch;Number of Payments;Absence;Presence;Delay;Course(s)
;;;;;;;;;;;
Gregg Francecione;4913 Badeau Park;(157) 7146043;gfrancecione0@amazonaws.com;y2u4Bt67;Student;Ingeneering;3;4;3;4;
Venus Station;43 Annamark Avenue;(483) 6354907;vstation1@washington.edu;LrckEVN;Student;Business;1;4;3;3;
Bobine Wethered;1666 Chinook Point;(882) 2007104;bwethered2@ucsd.edu;jqpbd343Hpo;Student;Literature;5;5;4;3;
Gil Roth;75057 Moose Crossing;(595) 1351313;groth3@yandex.ru;j1GW2gkMESf;Student;Business;6;5;1;3;
Kristan Lillywhite;70 Derek Lane;(417) 6941058;klillywhite4@booking.com;YVM4XrX39O;Student;Ingeneering;5;3;3;5;
Hermy Crammy;5415 Eastwood Terrace;(477) 5554883;hcrammy5@disqus.com;XWPJdkY;Student;Business;6;5;3;2;
Michael Scohier;36114 Mayfield Drive;(100) 8642954;mscohier6@posterous.com;h2xaSn8;Student;Literature;1;5;5;2;
Enrica Gifkins;22 Gulseth Crossing;(670) 4773878;egifkins7@guardian.co.uk;uFEhTbg1g0;Student;Literature;1;2;1;4;
Base Crowdson;4 Northview Terrace;(163) 6134520;bcrowdson8@nifty.com;wU4lazt7JFE;Student;Ingeneering;5;4;5;2;
Reggi Santore;00159 Independence Avenue;(732) 7880440;rsantore9@tuttocitta.it;e5DHc9ijS4Z;Student;Ingeneering;4;3;5;1;
Kendell Lippard;5 Riverside Drive;(533) 4251506;klipparda@dropbox.com;OLCzIDqd9pB;Student;Business;4;4;3;1;
Arin Wegner;51518 Grasskamp Avenue;(363) 9299594;awegnerb@purevolume.com;b9HP8ZS;Student;Ingeneering;1;4;5;4;
Norry Maplethorp;81 Meadow Vale Pass;(856) 3005779;nmaplethorpc@cornell.edu;7hW0J9jfjC9;Student;Literature;2;1;4;2;
Maisey Jarvis;2 Corscot Point;(800) 6089352;mjarvisd@imgur.com;697AXzVvYL;Student;Ingeneering;6;3;5;4;
Carmine Levecque;018 Shopko Way;(311) 1108058;clevecquee@hubpages.com;rJTJq28m6miK;Student;Business;6;1;2;3;
Rosaleen Sprakes;4 Mcbride Plaza;(703) 7476349;rsprakesf@canalblog.com;ErnjFyy2nLg;Student;Ingeneering;2;2;1;1;
Knox Landeg;28 3rd Terrace;(520) 6838942;klandegg@nationalgeographic.com;Nchm2e1s9VY;Student;Literature;3;3;3;3;
Lucais Sly;571 Blaine Parkway;(188) 9275779;lslyh@ameblo.jp;HHjGpM6LnV;Student;Literature;6;4;5;3;
Major Chiddy;37 Bultman Way;(790) 6640840;mchiddyi@apple.com;WsipYCfLa;Student;Ingeneering;1;2;4;4;
Modesty Ingley;62446 Express Avenue;(616) 3235291;mingleyj@vk.com;xKbD5Lb1dl;Student;Literature;5;3;4;1;
Decca Willatts;75539 Helena Plaza;(467) 9612509;dwillattsk@amazon.co.uk;VtfoSUdpXK2t;Student;Business;3;3;2;1;
Melodie Bargh;94 Talisman Terrace;(188) 7429753;mbarghl@cpanel.net;1hdluDxne81h;Student;Literature;5;5;3;1;
Ginny Forri;06 Westerfield Trail;(291) 2706229;gforrim@furl.net;HR31XCzYEI;Student;Business;2;3;5;4;
Julie McMurdo;06615 Gina Avenue;(319) 5356178;jmcmurdon@rambler.ru;L9oaHYve4;Student;Ingeneering;3;5;1;5;
Willdon Kynan;66568 American Point;(652) 3436631;wkynano@whitehouse.gov;DHf8X7mxeo0b;Student;Literature;3;1;3;2;
Miof mela Radden;4 Center Center;(938) 9516622;mmelap@state.tx.us;0in2Xjl;Student;Business;5;4;2;5;
Hallie Reglar;5754 Merry Way;(849) 6508133;hreglarq@who.int;T92PoEhWtIP;Student;Literature;5;4;1;3;
Farlee Wilford;2 Maryland Alley;(204) 7942503;fwilfordr@gnu.org;NstX17;Student;Ingeneering;1;1;1;3;
Dorie Farrar;059 Hoard Hill;(813) 2703747;dfarrars@artisteer.com;JBRWOEB;Student;Business;4;2;2;2;
Jerrilee Throssell;562 Hooker Park;(214) 2089180;jthrossellt@oracle.com;NCsxQXL;Student;Business;1;3;1;4;
Kurt Bonefant;4 Randy Center;(857) 9480996;kbonefantu@php.net;4ggdmJYsZg3;Teacher;;;;;;Statistics
Arden Trimnell;91 Dixon Lane;(374) 3180545;atrimnellv@privacy.gov.au;os6ky8Wsipq6;Teacher;;;;;;OOP
Corrine Wyd;4683 Ramsey Circle;(311) 9169982;cwydw@clickbank.net;ZqzeIfd5gQ;Teacher;;;;;;Data Structure
Noelani Huddle;07 Hauk Crossing;(764) 7509011;nhuddlex@wikimedia.org;BbLq8McceK8;Teacher;;;;;;Finance
Obadias Allenson;2 Mitchell Court;(492) 3452013;oallensony@arstechnica.com;S15c72V;Teacher;;;;;;Marketing
Hartley Knottley;1620 Hintze Plaza;(946) 5906400;hknottleyz@auda.org.au;QFHbCHTj;Teacher;;;;;;Management
Hort Lante;44 Graedel Avenue;(993) 5909662;hlante10@flickr.com;hd2rlVM;Teacher;;;;;;Philosophy
Leola Andrzejczak;94 Village Green Terrace;(392) 3497900;landrzejczak11@merriam-webster.com;k5ubHh2rvM;Teacher;;;;;;English
Myrna Wakeman;68508 Vahlen Alley;(537) 3851640;mwakeman12@jalbum.net;DkVDbM6;Teacher;;;;;;History
Luce Millins;164 Boyd Trail;(688) 7222347;lmillins13@opensource.org;KepM667;Admin;;;;;;
